App,Categoria,Downloads,Tipo,Preco,Nota,Avaliacoes,Contem_Anuncios,Compras_no_App,Versao,Ultima_Atualizacao,Android,Classificacao_Conteudo,Lancamento
Funimation,Entretenimento,10000000,Gratuito,0.0,2.9,190000,Sim,Sim,3.7.1,25/04/2022,6.0,"Classificação 16 anos • Violência Extrema, Conteúdo Sexual, Drogas Ilícitas",20/01/2021
JustWatch - Streaming Guide,Entretenimento,5000000,Gratuito,0.0,4.2,44300,Não,Sim,Varia de acordo com o dispositivo,19/08/2022,Varia,"Classificação 12 anos • Conteúdo Sexual, Conteúdo Impactante",20/07/2015
Amazon Prime Video,Entretenimento,100000000,Gratuito,0.0,4.3,3560000,Sim,Sim,Varia de acordo com o dispositivo,17/08/2022,5.0,"Classificação 16 anos • Violência, Conteúdo Sexual, Drogas Ilícitas",13/12/2016
DAZN Esportes ao vivo,Entretenimento,10000000,Gratuito,0.0,3.4,234000,Sim,Sim,Varia de acordo com o dispositivo,8/08/2022,Varia,Classificação 14 anos • Violência,7/05/2019
Stremio,Entretenimento,5000000,Gratuito,0.0,3.7,41000,Não,Não,Varia de acordo com o dispositivo,18/08/2022,Varia,"Classificação 16 anos • Violência, Conteúdo Sexual, Drogas Ilícitas",30/08/2019
Claro tv+,Entretenimento,5000000,Gratuito,0.0,4.0,93400,Não,Não,10.29.02,10/08/2022,6.0,"Classificação 16 anos • Violência, Conteúdo Sexual, Drogas Ilícitas",4/09/2014
Twitch: Transmissão ao vivo,Entretenimento,100000000,Gratuito,0.0,4.5,4970000,Sim,Sim,Varia de acordo com o dispositivo,8/08/2022,5.0,Classificação 12 anos • Linguagem Imprópria,20/05/2015
ViX: Filmes e TV sem limites,Entretenimento,10000000,Gratuito,0.0,4.0,212000,Sim,Não,5.4.5,11/07/2022,5.0,"Classificação 16 anos • Violência Extrema, Conteúdo Sexual, Drogas Ilícitas",26/10/2016
IMDb Cinema & TV,Entretenimento,100000000,Gratuito,0.0,4.4,867000,Sim,Não,8.5.8.108580300,17/08/2022,8.0,"Classificação 14 anos • Violência, Conteúdo Sexual, Drogas Ilícitas",29/06/2010
Old Movies Hollywood Classics,Entretenimento,5000000,Gratuito,0.0,4.0,49400,Sim,Sim,1.15.10,19/08/2022,5.0,"Classificação 16 anos • Violência, Conteúdo Sexual, Drogas Ilícitas",13/02/2018
DIRECTV GO,Entretenimento,5000000,Gratuito,0.0,3.1,58800,Não,Não,Varia de acordo com o dispositivo,5/08/2022,5.0,"Classificação 16 anos • Violência, Conteúdo Sexual, Drogas Ilícitas",21/06/2022
TV Time: Seguir Séries e filme,Entretenimento,10000000,Gratuito,0.0,4.0,475000,Não,Não,8.43.0-2022052701,6/06/2022,5.0,"Classificação 16 anos • Violência, Conteúdo Sexual, Drogas Ilícitas",8/11/2013
Televizo - IPTV player,Entretenimento,1000000,Gratuito,0.0,4.1,5440,Sim,Sim,1.9.5.31,3/08/2022,5.0,Classificação Livre,28/02/2019
OneFootball Resultados Futebol,Entretenimento,50000000,Gratuito,0.0,4.7,1530000,Sim,Sim,14.40.2,19/08/2022,6.0,Classificação Livre,29/08/2011
Yahoo Mail – seu e-mail organizado,Entretenimento,100000000,Gratuito,0.0,4.8,6330000,Sim,Sim,Varia de acordo com o dispositivo,18/08/2022,Varia,Classificação Livre,22/06/2010
Brasileirão Pro 2022 Série A B,Entretenimento,5000000,Gratuito,0.0,4.5,140000,Sim,Sim,3.6.1.0,14/06/2022,5.1,Classificação Livre,6/11/2014
PlayPlus,Entretenimento,5000000,Gratuito,0.0,2.6,38900,Não,Sim,3.37.5,30/06/2022,5.0,"Classificação 14 anos • Violência, Drogas Ilícitas",13/08/2018
RTVE Play,Entretenimento,1000000,Gratuito,0.0,4.3,79600,Não,Não,Varia de acordo com o dispositivo,4/08/2022,Varia,"Classificação 16 anos • Violência, Conteúdo Sexual, Drogas Ilícitas",20/02/2012
ATRESplayer: Series y noticias,Entretenimento,10000000,Gratuito,0.0,3.7,98900,Sim,Sim,3.28.0,5/07/2022,5.0,Classificação Livre,5/09/2012
Web Video Cast,Entretenimento,10000000,Gratuito,0.0,4.6,1340000,Sim,Sim,Varia de acordo com o dispositivo,3/08/2022,Varia,Classificação Livre,7/03/2014
Roku TV Remote Control: RoByte,Entretenimento,5000000,Gratuito,0.0,4.3,60800,Não,Sim,2.4.12,13/02/2022,5.0,Classificação Livre,12/02/2015
Wapa.TV,Entretenimento,500000,Gratuito,0.0,0.0,0,Sim,Não,5.2.3,16/01/2022,4.1,Classificação Livre,4/10/2013
Univer Video,Entretenimento,1000000,Gratuito,0.0,4.4,29600,Não,Não,Varia de acordo com o dispositivo,12/04/2022,Varia,Classificação Livre,18/09/2016
RTP Play,Entretenimento,500000,Gratuito,0.0,3.9,3920,Sim,Não,Varia de acordo com o dispositivo,18/08/2022,5.0,Classificação 10 anos • Linguagem Imprópria,16/11/2016
Claro video,Entretenimento,50000000,Gratuito,0.0,1.9,198000,Não,Não,572v3,4/07/2022,6.0,Classificação Livre,30/11/2012
Smarters Player Lite,Entretenimento,1000000,Gratuito,0.0,4.6,21300,Não,Não,5.1,28/04/2022,4.2,Classificação Livre,24/09/2018
Kodi,Entretenimento,50000000,Gratuito,0.0,4.1,318000,Não,Não,19.3,24/10/2021,5.0,Classificação Livre,14/06/2015
Rave – Video Party,Entretenimento,10000000,Gratuito,0.0,4.5,493000,Sim,Sim,5.3.24,20/08/2022,5.0,Classificação 12 anos • Linguagem Imprópria,1/12/2015
FlixPlayer for Android,Entretenimento,10000000,Gratuito,0.0,4.3,91900,Sim,Sim,2.9,5/08/2022,5.0,Classificação Livre,13/12/2018
Premiere,Entretenimento,5000000,Gratuito,0.0,4.3,101000,Sim,Sim,Varia de acordo com o dispositivo,19/08/2022,Varia,Classificação Livre,5/07/2013
Roku,Entretenimento,10000000,Gratuito,0.0,4.6,685000,Sim,Não,Varia de acordo com o dispositivo,20/08/2022,Varia,"Classificação 16 anos • Violência, Conteúdo Sexual, Drogas Ilícitas",21/01/2020
Noor Play,Entretenimento,1000000,Gratuito,0.0,3.5,14400,Não,Sim,Varia de acordo com o dispositivo,3/08/2022,5.0,Classificação Livre,22/02/2017
Multivix,Entretenimento,50000,Gratuito,0.0,4.2,561,Não,Não,1.7.0,21/02/2022,4.1,Classificação Livre,11/08/2019
Prime Video - Android TV,Entretenimento,100000000,Gratuito,0.0,1.7,452,Sim,Não,5.7.14+v14.0.0.440-armv7a,9/08/2022,5.0,"Classificação 16 anos • Violência, Conteúdo Sexual, Drogas Ilícitas",20/12/2017
Fanatiz,Entretenimento,100000,Gratuito,0.0,3.1,1270,Sim,Sim,Varia de acordo com o dispositivo,1/07/2022,5.0,Classificação Livre,9/06/2017
Vivo Smart Wi-Fi,Entretenimento,1000000,Gratuito,0.0,4.1,39300,Não,Não,2.16.0.1(1),4/07/2022,5.1,Classificação Livre,8/12/2017
SPORT TV,Entretenimento,500000,Gratuito,0.0,3.9,4500,Não,Não,5.2.6,9/08/2022,5.0,Classificação Livre,11/06/2019
Champions League Oficial,Entretenimento,10000000,Gratuito,0.0,4.7,224000,Sim,Não,9.4.0,17/08/2022,5.0,Classificação Livre,12/08/2015
UOL Play,Entretenimento,100000,Gratuito,0.0,3.0,1540,Não,Não,4.0.72,17/08/2022,8.0,"Classificação 16 anos • Violência, Conteúdo Sexual, Drogas Ilícitas",24/01/2020
TV Pokémon,Entretenimento,10000000,Gratuito,0.0,4.6,204000,Sim,Não,Varia de acordo com o dispositivo,24/05/2022,Varia,Classificação Livre,12/02/2013
C6 Bank,Finanças,10000000,Gratuito,0.0,3.9,472000,Não,Não,Varia de acordo com o dispositivo,11/08/2022,6.0,Classificação Livre,15/05/2019
Bmg Conta Digital: Empréstimos,Finanças,10000000,Gratuito,0.0,4.2,191000,Não,Não,3.40.3,11/08/2022,5.0,Classificação Livre,27/10/2018
DieselBank,Finanças,10000,Gratuito,0.0,4.5,749,Não,Não,3.0.11,15/07/2022,5.0,Classificação Livre,29/07/2020
Senff - Clientes,Finanças,1000000,Gratuito,0.0,2.7,11500,Não,Não,8.88,10/08/2022,5.0,Classificação Livre,19/10/2015
Calcard Ouze,Finanças,1000000,Gratuito,0.0,4.7,78800,Não,Não,4.7.0,10/05/2022,6.0,Classificação Livre,21/03/2019
Social Bank,Finanças,100000,Gratuito,0.0,2.6,4690,Não,Não,1.50.3,6/07/2022,4.1,Classificação Livre,2/05/2017
